category,headline,url
ENVIRONMENT,One of world's top urban forests threatened by tiny beetle,http://www.foxnews.com/world/2018/08/16/one-worlds-top-urban-forests-threatened-by-tiny-beetle.html
ENVIRONMENT,"Endangered Green, Loggerhead turtles make comeback in Cyprus",http://www.foxnews.com/world/2018/08/16/endangered-green-loggerhead-turtles-make-comeback-in-cyprus.html
ENVIRONMENT,Mexico: Lopez Obrador expands plan for Yucatan tourist train,http://www.foxnews.com/world/2018/08/14/mexico-lopez-obrador-expands-plan-for-yucatan-tourist-train.html
MAMMALS,"Orca that carried dead, decomposing calf for weeks now returns to fun with friends",http://www.foxnews.com/science/2018/08/12/orca-that-carried-dead-decomposing-calf-for-weeks-now-returns-to-fun-with-friends.html
AUSTRALIA,"Hundreds of thirsty cows in drought-stricken Australia swarm water truck, video shows",http://www.foxnews.com/world/2018/08/10/hundreds-thirsty-cows-in-drought-stricken-australia-swarm-water-truck-video-shows.html
ENVIRONMENT,The Latest: Northern Europe prepares for summer storms,http://www.foxnews.com/world/2018/08/10/latest-northern-europe-prepares-for-summer-storms.html
ENVIRONMENT,"Firefighter's wife, baby among 93 victims of Greece blaze",http://www.foxnews.com/world/2018/08/09/firefighters-wife-baby-among-93-victims-greece-blaze.html
ENVIRONMENT,"Boys rescued from cave, once stateless, get Thai citizenship",http://www.foxnews.com/world/2018/08/08/boys-rescued-from-cave-once-stateless-get-thai-citizenship.html
ENVIRONMENT,Photo exhibit documents revival of Polish Jewish life,http://www.foxnews.com/world/2018/08/08/photo-exhibit-documents-revival-polish-jewish-life.html
ENVIRONMENT,"In quake-hit Indonesia, a challenge to recover the dead",http://www.foxnews.com/world/2018/08/07/in-quake-hit-indonesia-challenge-to-recover-dead.html
ENVIRONMENT,Greece's PM promises full investigation of deadly fire,http://www.foxnews.com/world/2018/08/07/greeces-pm-promises-full-investigation-deadly-fire.html
ENVIRONMENT,The Latest: More car limits in France as heat wave peaks,http://www.foxnews.com/world/2018/08/07/latest-more-car-limits-in-france-as-heat-wave-peaks.html
ENVIRONMENT,Man saved from quake-flattened mosque on Indonesia island,http://www.foxnews.com/world/2018/08/07/man-saved-from-quake-flattened-mosque-on-indonesia-island.html
ENVIRONMENT,2 tropical storms storms gaining force off Mexico's coast,http://www.foxnews.com/world/2018/08/06/2-tropical-storms-storms-gaining-force-off-mexicos-coast.html
ENVIRONMENT,Portugal battles major wildfire as Europe heat wave endures,http://www.foxnews.com/world/2018/08/06/portugal-battles-major-wildfire-as-europe-heat-wave-endures.html
ENVIRONMENT,"Red alerts for Portugal, Spain amid smothering heat wave",http://www.foxnews.com/world/2018/08/04/red-alerts-for-portugal-spain-amid-smothering-heat-wave.html
ENVIRONMENT,Thailand's rescued cave boys end stay at Buddhist temple,http://www.foxnews.com/world/2018/08/04/thailands-rescued-cave-boys-end-stay-at-buddhist-temple.html
ENVIRONMENT,The Latest: Another Greek fire victim dies of her injuries,http://www.foxnews.com/world/2018/08/03/latest-another-greek-fire-victim-dies-her-injuries.html
ENVIRONMENT,Greece to tear down illegal fences for better fire safety,http://www.foxnews.com/world/2018/08/03/greece-to-tear-down-illegal-fences-for-better-fire-safety.html
OCEANS,Whale shark unwrapped from fishing line by Hawaii family,http://www.foxnews.com/us/2018/08/02/whale-shark-unwrapped-from-fishing-line-by-hawaii-family.html
ENVIRONMENT,The Latest: EU speeds up funds for farmers amid drought,http://www.foxnews.com/world/2018/08/02/latest-eu-speeds-up-funds-for-farmers-amid-drought.html
ENVIRONMENT,"Hot African air brings scorching heat, dust to Europe",http://www.foxnews.com/world/2018/08/02/hot-african-air-brings-scorching-heat-dust-to-europe.html
ENVIRONMENT,Water crisis salts the earth in Iraq's long-neglected south,http://www.foxnews.com/world/2018/08/02/water-crisis-salts-earth-in-iraqs-long-neglected-south.html
ENVIRONMENT,Storms force swimmer to suspend attempt to cross Pacific,http://www.foxnews.com/world/2018/08/01/storms-force-swimmer-to-suspend-attempt-to-cross-pacific.html
ENVIRONMENT,"A makeover for milkweed, for the sake of butterflies",http://www.foxnews.com/world/2018/07/31/makeover-for-milkweed-for-sake-butterflies.html
ENVIRONMENT,Bodies of 70 killed in deadly Greek wildfires identified,http://www.foxnews.com/world/2018/07/31/bodies-70-killed-in-deadly-greek-wildfires-identified.html
ENVIRONMENT,Greece: Divers recover body offshore of where wildfire raged,http://www.foxnews.com/world/2018/07/30/greece-divers-recover-body-offshore-where-wildfire-raged.html
ENVIRONMENT,TASTE OF THE TOUR: Pan-seared squid in the Basque Country,http://www.foxnews.com/world/2018/07/27/taste-tour-pan-seared-squid-in-basque-country.html
OCEANS,Florida beaches littered with dead sea turtles; scientists blame red tide,http://www.foxnews.com/science/2018/07/26/florida-beaches-littered-with-dead-sea-turtles-scientists-blame-red-tide.html
ENVIRONMENT,Algae blooms force Poland to shut down 50 Baltic Sea beaches,http://www.foxnews.com/world/2018/07/26/algae-blooms-force-poland-to-shut-down-50-baltic-sea-beaches.html
ENVIRONMENT,10th endangered rhino dies in Kenya after botched transfer,http://www.foxnews.com/world/2018/07/26/10th-endangered-rhino-dies-in-kenya-after-botched-transfer.html
ENVIRONMENT,The Latest: Belgium confirms Belgian tourist died in fire,http://www.foxnews.com/world/2018/07/26/latest-belgium-confirms-belgian-tourist-died-in-fire.html
ENVIRONMENT,Frantic relatives search for missing in Athens' morgue,http://www.foxnews.com/world/2018/07/26/frantic-relatives-search-for-missing-in-athens-morgue.html
ENVIRONMENT,"TASTE OF THE TOUR: Henri IV, Poule au Pot and pressed cheese",http://www.foxnews.com/world/2018/07/25/taste-tour-henri-iv-poule-au-pot-and-pressed-cheese.html
